company_name,email,phone,website,source_url,search_query,timestamp
Fundo imobiliário da Vinci conclui compra de shopping Praia da Costa,contato@siila.com.br,2510081644000,"https://siila.com.br/noticias/fundo-imobiliario-vinci-conclui-compra-shopping-praia-costa/2717/lang/pt-br#:~:text=Fundo%20imobili%C3%A1rio%20da%20Vinci%20conclui%20compra%20de%20shopping%20Praia%20da%20Costa.&text=O%20Vinci%20Shopping%20Centers%20(VISC11,em%20Vila%20Velha%2C%20Esp%C3%ADrito%20Santo.","https://siila.com.br/noticias/fundo-imobiliario-vinci-conclui-compra-shopping-praia-costa/2717/lang/pt-br#:~:text=Fundo%20imobili%C3%A1rio%20da%20Vinci%20conclui%20compra%20de%20shopping%20Praia%20da%20Costa.&text=O%20Vinci%20Shopping%20Centers%20(VISC11,em%20Vila%20Velha%2C%20Esp%C3%ADrito%20Santo.",loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Loja para aluguel, Praia da Costa - Vila Velha/ES",contato@fidalgoimoveis.com.br,8-1756405045.,https://www.fidalgoimoveis.com.br/imovel/loja-para-aluguel-praia-da-costa-vila-velha-es/519,https://www.fidalgoimoveis.com.br/imovel/loja-para-aluguel-praia-da-costa-vila-velha-es/519,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Lojas para alugar Praia da Costa, Vila Velha - ES",joaovitor@vigaconstrutora.com.br,3.4.4.,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Lojas para alugar Praia da Costa, Vila Velha - ES",marcelo@vigaconstrutora.com.br,3.4.4.,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Lojas para alugar Praia da Costa, Vila Velha - ES",marcelo@grupoviga.com.br,3.4.4.,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Lojas para alugar Praia da Costa, Vila Velha - ES",joaovitor@grupoviga.com.br,3.4.4.,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Lojas para alugar Praia da Costa, Vila Velha - ES",administrativo@grupoviga.com.br,3.4.4.,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
"Lojas para alugar Praia da Costa, Vila Velha - ES",fernanda@vigaconstrutora.com.br,3.4.4.,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,https://www.grupoviga.com.br/imoveis/para-alugar/loja/vila-velha/praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
Multifidelidade,mnpraiadacosta@gmail.com,941641626,https://multifidelidade.app/site/Empresa/368521/metal-nobre/shopping-praia-da-costa,https://multifidelidade.app/site/Empresa/368521/metal-nobre/shopping-praia-da-costa,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
Shopping Praia da Costa | Vila Velha ES | Facebook,shoppingpraiadacosta@soulmalls.com.br,100064646114056,https://www.facebook.com/PCostaShopping/?locale=pt_BR,https://www.facebook.com/PCostaShopping/?locale=pt_BR,loja na praia da costa vila velha es,2025-12-09T15:41:07.466807
